Segment_id,Start_time_seconds,End_time_seconds,Start_time_formatted,End_time_formatted,Duration_seconds,Sentence,Emotion_core
959,2491.85,2493.07,41:31,41:33,1.22,Pudziak!,neutral
654,2544.28,2546.58,42:24,42:26,2.3,"Nie wiem, czy wiecie o kim mówię.",neutral
76,232.86,233.9,03:52,03:53,1.04,Kwestie zaufania.,neutral
88,178.62,180.98,02:58,03:00,2.36,"Nie, no to zróbmy sobie apetyzę.",neutral
243,620.43,622.21,10:20,10:22,1.78,A propos dziewczyn.,neutral
1050,2754.58,2756.14,45:54,45:56,1.56,"Szybko, szybciutko, szybciutko, szybciutko.",neutral
311,702.57,702.61,11:42,11:42,0.04,Tak.,neutral
170,551.25,553.09,09:11,09:13,1.84,I do rogu.,neutral
1164,4360.49,4362.89,72:40,72:42,2.4,Jesteś bohaterem serialu akcji?,neutral
142,296.83,298.37,04:56,04:58,1.54,"Dobrze, no to zanim przejdziemy do...",neutral
282,1066.4,1075.3,17:46,17:55,8.9,Jeszcze jedna.,neutral
202,907.7,920.1,15:07,15:20,12.4,"Jakżeśmy wiedzieli, że ten serial ma być emitowany w polskiej telewizji na pierwszym programie, bo tylko był kiedyś jeden program, w 68 albo 7 roku, jakoś tak, czy 6 nawet.",neutral
741,1928.79,1930.99,32:08,32:10,2.2,Czas jest dobry!,neutral
192,824.08,829.9,13:44,13:49,5.82,Mariusz wybrał zupełnie inną technikę jedzenia.,neutral
362,1164.39,1167.23,19:24,19:27,2.84,Nie jestem tylko oto twórcą.,neutral
13,67.2,68.49,01:07,01:08,1.29,Jak Ci się tutaj mieszka?,neutral
395,1568.72,1570.48,26:08,26:10,1.76,Przytulanie i tak dalej.,neutral
165,733.84,735.68,12:13,12:15,1.84,Ale wcześniej rzuć kostkami.,neutral
144,375.27,385.25,06:15,06:25,9.98,"na realizację ostatniego odcinka, że tu w Warszawie przed jakimiś ekspertami wykonywałem wizje, gdzie zostałem w kartonach rzeczy i tam efekty zaistniały.",neutral
1334,5064.37,5074.39,84:24,84:34,10.02,To jest dla mnie postać typu Lord Vader z Wojen Gwiezdnych wsadzony w rzeczywistość XIX wieku.,neutral
215,388.79,389.85,06:28,06:29,1.06,Ja bym dał ostatnie.,neutral
339,1355.95,1359.29,22:35,22:39,3.34,"Pierwszy swój błyszczyk, burżuła kupiłam sobie z tej kasy, tak?",neutral
