Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity,sentence_length,Language,predicted_emotion,emotion_final,Sentence_corrected
00:00:00,00:00:07,"Program zawiera tresci nieodpowiednie dla widzow niepelnoletnich oraz takie, ktore moga urazic niektorych doroslych.",The program contains content inappropriate for underage viewers and content that may offend some adults.,warning,fear,mild,14,formal,disgust,disgust,"Program zawiera treści nieodpowiednie dla widzów niepełnoletnich oraz takie, które mogą urazić niektórych dorosłych."
00:00:07,00:00:09,Ogladasz na wlasna odpowiedzialnosc.,You watch at your own risk.,caution,fear,mild,4,informal,fear,fear,oglądasz na własną odpowiedzialność.
00:00:10,00:00:13,Jedziemy do Piekowa!,We're going to Pięków!,excitement,happiness,moderate,3,informal,happiness,happiness,Jedziemy do piękowa!
00:00:14,00:00:17,"Krakowiacek jeden, a okolicow siedem.","One Krakowiacek, and seven surroundings.",pride,happiness,mild,5,informal,neutral,happiness,"Krakowiacek jeden, a okolic siedem."
00:00:19,00:00:22,"Tak go dzgnalem w ta tarcze i widzialem, ze sie wkurwil.",So I stabbed him in that shield and I saw that he got pissed off.,irritation,anger,moderate,11,informal,anger,anger,"tak go dźgnąłem w tą tarczę i widziałem, że się wkurzył."
00:00:25,00:00:26,I co kurde?,So what the hell?,defiance,anger,mild,3,informal,anger,anger,I co kurde?
00:00:26,00:00:28,Jestesmy na pelnej pisie!,We're going full throttle!,enthusiasm,happiness,intense,4,informal,anger,happiness,jesteśmy na pełnej pisie!
00:00:31,00:00:33,O szostej w nocy pojechalem do szpitala.,At six at night I went to the hospital.,concern,fear,moderate,7,informal,fear,fear,O szóstej w nocy pojechałem do szpitala.
00:00:33,00:00:35,Tak zajebiscie zle sie czulem.,I felt fucking awful.,misery,sadness,intense,5,informal,disgust,anger,tak zajebiście źle się czułem.
00:00:37,00:00:39,A w nocy czules sie jakby cale zycie ci przelecialo przed oczy?,And at night did you feel like your whole life flashed before your eyes?,reflection,surprise,moderate,12,informal,fear,surprise,A w nocy czułeś się jakby całe życie ci przeleciało przed oczy?
00:00:39,00:00:40,No.,No.,indifference,neutral,neutral,1,informal,neutral,anger,No.
00:00:41,00:00:42,Tak dlugo pracujesz?,Have you been working that long?,curiosity,neutral,mild,3,informal,neutral,neutral,tak długo pracujesz?
00:00:43,00:00:44,To jest moj nos.,This is my nose.,assertion,neutral,neutral,4,informal,neutral,neutral,To jest mój nos.
00:00:44,00:00:45,Aha.,Aha.,acknowledgment,neutral,neutral,1,informal,disgust,neutral,Aha.
00:00:45,00:00:46,Takze Wojtek nic nie powyrywal.,So Wojtek didn't tear anything out.,relief,happiness,mild,5,informal,neutral,happiness,także Wojtek nic nie powyrywał.
00:00:47,00:00:48,Nieudany balet!,Failed ballet!,disappointment,sadness,moderate,2,informal,anger,sadness,Nieudany balet!
00:00:50,00:00:52,Ej kurwa studenciki pojebalo was!,"Hey fuck, students, are you out of your minds!",outrage,anger,intense,5,informal,anger,anger,Ej kurwa studenciki pojebało was!
